Dataset,URL,File
Statmt-newsdev_roen-2016-ron-eng,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newsdev2016-roen-src.ro.sgm,dev/newsdev2016-roen-ref.en.sgm
Statmt-newsdev_tren-2016-tur-eng,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newsdev2016-tren-src.tr.sgm,dev/newsdev2016-tren-ref.en.sgm
Statmt-newsdev_entr-2016-eng-tur,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newsdev2016-entr-src.en.sgm,dev/newsdev2016-entr-ref.tr.sgm
Statmt-newstest_deen-2016-deu-eng,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newstest2016-deen-src.de.sgm,dev/newstest2016-deen-ref.en.sgm
Statmt-newstest_ende-2016-eng-deu,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newstest2016-ende-src.en.sgm,dev/newstest2016-ende-ref.de.sgm
Statmt-newstest_enro-2016-eng-ron,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newstest2016-enro-src.en.sgm,dev/newstest2016-enro-ref.ro.sgm
Statmt-newstest_enfi-2016-eng-fin,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newstest2016-enfi-src.en.sgm,dev/newstest2016-enfi-ref.fi.sgm
Statmt-newstest_roen-2016-ron-eng,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newstest2016-roen-src.ro.sgm,dev/newstest2016-roen-ref.en.sgm
Statmt-newstest_ruen-2016-rus-eng,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newstest2016-ruen-src.ru.sgm,dev/newstest2016-ruen-ref.en.sgm
Statmt-newstest_fien-2016-fin-eng,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newstest2016-fien-src.fi.sgm,dev/newstest2016-fien-ref.en.sgm
Statmt-newstest_enru-2016-eng-rus,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newstest2016-enru-src.en.sgm,dev/newstest2016-enru-ref.ru.sgm
Statmt-newstest_tren-2016-tur-eng,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newstest2016-tren-src.tr.sgm,dev/newstest2016-tren-ref.en.sgm
Statmt-newstest_csen-2016-ces-eng,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newstest2016-csen-src.cs.sgm,dev/newstest2016-csen-ref.en.sgm
Statmt-newstest_entr-2016-eng-tur,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newstest2016-entr-src.en.sgm,dev/newstest2016-entr-ref.tr.sgm
Statmt-newstest_encs-2016-eng-ces,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newstest2016-encs-src.en.sgm,dev/newstest2016-encs-ref.cs.sgm
Statmt-newsdev_zhen-2017-zho-eng,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newsdev2017-zhen-src.zh.sgm,dev/newsdev2017-zhen-ref.en.sgm
Statmt-newsdev_lven-2017-lav-eng,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newsdev2017-lven-src.lv.sgm,dev/newsdev2017-lven-ref.en.sgm
Statmt-newsdev_enzh-2017-eng-zho,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newsdev2017-enzh-src.en.sgm,dev/newsdev2017-enzh-ref.zh.sgm
Statmt-newsdev_enlv-2017-eng-lav,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newsdev2017-enlv-src.en.sgm,dev/newsdev2017-enlv-ref.lv.sgm
Statmt-newstest_zhen-2017-zho-eng,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newstest2017-zhen-src.zh.sgm,dev/newstest2017-zhen-ref.en.sgm
Statmt-newstest_ruen-2017-rus-eng,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newstest2017-ruen-src.ru.sgm,dev/newstest2017-ruen-ref.en.sgm
Statmt-newstest_enfi-2017-eng-fin,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newstest2017-enfi-src.en.sgm,dev/newstest2017-enfi-ref.fi.sgm
Statmt-newstest_lven-2017-lav-eng,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newstest2017-lven-src.lv.sgm,dev/newstest2017-lven-ref.en.sgm
Statmt-newstest_ende-2017-eng-deu,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newstest2017-ende-src.en.sgm,dev/newstest2017-ende-ref.de.sgm
Statmt-newstest_deen-2017-deu-eng,http://data.statmt.org/wmt20/translation-task/dev.tgz,dev/newstest2017-deen-src.de.sgm,dev/newstest2017-deen-ref.en.sgm
